CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimated average age at marriage, women","Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",UN Population Division (Median Age) (2017),Life expectancy,Number of people employed in agriculture  (Herrendorf et al. data),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Pupil-teacher ratio in primary education (headcount basis),Tax Revenue (Piketty (2014)),Public Expenditure on Education (Tanzi & Schuktnecht (2000)),"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Income share held by highest 10%,Population density (people per sq. km of land area)
Algeria,28.2,13000.0,38.1,37.2,,2.909,1.0948192462640918,5.317194462,9444.28616227874,,75.199,,9.96000003814697,23.2690296173096,,,13204.0,22.9,15.4591004895581
Angola,42.7,6350.0,12.9,17.3,,6.12,0.7817790137336559,5.589000702,,,56.33,,7.3600001335144,42.5430603027344,,,8016.0,,19.4261370016844
Benin,43.1,1820.0,24.1,14.8,21.299999,5.305,0.7269544497405429,3.870279551,1009.68357954254,,59.59,,2.65000009536743,44.2006683349609,,,1836.0,34.5,83.9021106775452
Botswana,60.6,13800.0,37.8,23.2,24.799999,3.017,0.9829092502962904,3.519921064,1555.46054668534,,61.91,,17.617000579834,,,,13376.0,,3.61960545586082
Burkina Faso,38.0,1470.0,28.0,13.7,,5.781000000000001,0.655873961038678,4.785367489,904.334830599158,,57.761,,5.09700012207031,52.686408996582,,,1344.0,,58.7788888888889
Burundi,36.6,739.0,27.6,14.7,,6.087999999999999,0.7687577975590526,3.705894232,218.137392599461,,57.925,,1.54499995708466,48.3114318847656,,,719.0,,352.161526479751
Central African Republic,56.2,1020.0,15.0,9.29,,5.172000000000001,0.7012733992100448,3.677826405,717.432443979282,,47.95,,6.27799987792969,81.3105087280273,,,909.0,,7.18506693633825
Cote d'Ivoire,42.4,2500.0,4.7,10.9,22.299999,5.029,0.8272187951235004,,1878.94997359599,,53.62,,2.9909999370575,48.8462104797363,,,2444.0,,65.7085251572327
Egypt,30.9,9980.0,17.1,14.0,,3.3110000000000004,0.9209760973159712,4.174158573,4083.35115433178,,70.543,,11.8500003814697,,,,10737.0,,86.2901813250289
Equatorial Guinea,40.0,34600.0,32.0,7.02,20.5,5.126,0.6606015074233188,,1053.88459130243,,55.945,,5.57000017166138,27.9077491760254,,,43841.0,,35.4470588235294
